# LAMMPS data file written by OVITO Basic 3.5.4
15552 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.00000 0.00000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

104 1 0.0 1.8097641 5.35263417 7.81912926
105 1 0.0 1.8097641 20.9901024 18.5243976
106 1 0.0 18.5243976 20.9901024 1.8097641
107 1 0.0 7.81912926 5.35263417 1.8097641
108 1 0.0 7.81912926 20.9901024 24.53297247
109 1 0.0 18.5243976 5.35263417 24.53297247
110 1 0.0 1.8097641 18.5243976 20.9901024
111 1 0.0 1.8097641 7.81912926 5.35263417
112 1 0.0 24.53297247 7.81912926 20.9901024
113 1 0.0 24.53297247 18.5243976 5.35263417
114 1 0.0 20.9901024 1.8097641 18.5243976
115 1 0.0 5.35263417 1.8097641 7.81912926
116 1 0.0 20.9901024 24.53297247 7.81912926
117 1 0.0 5.35263417 24.53297247 18.5243976
118 1 0.0 20.9901024 18.5243976 24.53297247
119 1 0.0 5.35263417 7.81912926 24.53297247
120 1 0.0 20.9901024 7.81912926 1.8097641
121 1 0.0 5.35263417 18.5243976 1.8097641
122 1 0.0 18.5243976 1.8097641 5.35263417
123 1 0.0 7.81912926 1.8097641 20.9901024
124 1 0.0 7.81912926 24.53297247 5.35263417
125 1 0.0 18.5243976 24.53297247 20.9901024
126 1 0.0 1.8097641 20.9901024 7.81912926
127 1 0.0 1.8097641 5.35263417 18.5243976
128 1 0.0 24.53297247 20.9901024 18.5243976
129 1 0.0 24.53297247 5.35263417 7.81912926
130 1 0.0 7.81912926 18.5243976 11.36199933
131 1 0.0 18.5243976 7.81912926 11.36199933
132 1 0.0 18.5243976 18.5243976 14.98073724
133 1 0.0 7.81912926 7.81912926 14.98073724
134 1 0.0 5.35263417 11.36199933 20.9901024
135 1 0.0 20.9901024 11.36199933 5.35263417
136 1 0.0 5.35263417 14.98073724 5.35263417
137 1 0.0 20.9901024 14.98073724 20.9901024
138 1 0.0 5.35263417 20.9901024 14.98073724
139 1 0.0 20.9901024 5.35263417 14.98073724
140 1 0.0 5.35263417 5.35263417 11.36199933
141 1 0.0 20.9901024 20.9901024 11.36199933
142 1 0.0 7.81912926 11.36199933 7.81912926
143 1 0.0 18.5243976 11.36199933 18.5243976
144 1 0.0 18.5243976 14.98073724 7.81912926
145 1 0.0 7.81912926 14.98073724 18.5243976
146 1 0.0 18.5243976 7.81912926 14.98073724
147 1 0.0 7.81912926 18.5243976 14.98073724
148 1 0.0 7.81912926 7.81912926 11.36199933
149 1 0.0 18.5243976 18.5243976 11.36199933
150 1 0.0 20.9901024 14.98073724 5.35263417
151 1 0.0 5.35263417 14.98073724 20.9901024
152 1 0.0 20.9901024 11.36199933 20.9901024
153 1 0.0 5.35263417 11.36199933 5.35263417
154 1 0.0 20.9901024 5.35263417 11.36199933
155 1 0.0 5.35263417 20.9901024 11.36199933
156 1 0.0 20.9901024 20.9901024 14.98073724
157 1 0.0 5.35263417 5.35263417 14.98073724
158 1 0.0 18.5243976 14.98073724 18.5243976
159 1 0.0 7.81912926 14.98073724 7.81912926
160 1 0.0 7.81912926 11.36199933 18.5243976
161 1 0.0 18.5243976 11.36199933 7.81912926
162 1 0.0 11.36199933 7.81912926 18.5243976
163 1 0.0 11.36199933 18.5243976 7.81912926
164 1 0.0 14.98073724 18.5243976 18.5243976
165 1 0.0 14.98073724 7.81912926 7.81912926
166 1 0.0 11.36199933 5.35263417 5.35263417
167 1 0.0 11.36199933 20.9901024 20.9901024
168 1 0.0 14.98073724 5.35263417 20.9901024
169 1 0.0 14.98073724 20.9901024 5.35263417
170 1 0.0 14.98073724 18.5243976 7.81912926
171 1 0.0 14.98073724 7.81912926 18.5243976
172 1 0.0 11.36199933 7.81912926 7.81912926
173 1 0.0 11.36199933 18.5243976 18.5243976
174 1 0.0 14.98073724 20.9901024 20.9901024
175 1 0.0 14.98073724 5.35263417 5.35263417
176 1 0.0 11.36199933 20.9901024 5.35263417
177 1 0.0 11.36199933 5.35263417 20.9901024
178 1 0.0 9.62810307 5.25305763 22.7998665
179 1 0.0 16.7146335 21.08967894 22.7998665
180 1 0.0 9.62810307 21.08967894 3.54287007
181 1 0.0 3.54287007 16.7146335 5.25305763
182 1 0.0 3.54287007 9.62810307 21.08967894
183 1 0.0 5.25305763 22.7998665 9.62810307
184 1 0.0 21.08967894 22.7998665 16.7146335
185 1 0.0 5.25305763 3.54287007 16.7146335
186 1 0.0 21.08967894 3.54287007 9.62810307
187 1 0.0 5.25305763 9.62810307 3.54287007
188 1 0.0 21.08967894 16.7146335 3.54287007
189 1 0.0 5.25305763 16.7146335 22.7998665
190 1 0.0 9.62810307 22.7998665 21.08967894
191 1 0.0 16.7146335 22.7998665 5.25305763
192 1 0.0 16.7146335 3.54287007 21.08967894
193 1 0.0 9.62810307 3.54287007 5.25305763
194 1 0.0 22.7998665 5.25305763 16.7146335
195 1 0.0 22.7998665 21.08967894 9.62810307
196 1 0.0 3.54287007 5.25305763 9.62810307
197 1 0.0 3.54287007 21.08967894 16.7146335
198 1 0.0 16.7146335 21.08967894 3.54287007
199 1 0.0 9.62810307 5.25305763 3.54287007
200 1 0.0 9.62810307 21.08967894 22.7998665
201 1 0.0 16.7146335 5.25305763 22.7998665
202 1 0.0 3.54287007 16.7146335 21.08967894
203 1 0.0 3.54287007 9.62810307 5.25305763
204 1 0.0 22.7998665 16.7146335 5.25305763
205 1 0.0 21.08967894 3.54287007 16.7146335
206 1 0.0 5.25305763 3.54287007 9.62810307
207 1 0.0 21.08967894 22.7998665 9.62810307
208 1 0.0 5.25305763 22.7998665 16.7146335
209 1 0.0 5.25305763 9.62810307 22.7998665
210 1 0.0 5.25305763 16.7146335 3.54287007
211 1 0.0 9.62810307 3.54287007 21.08967894
212 1 0.0 9.62810307 22.7998665 5.25305763
213 1 0.0 16.7146335 22.7998665 21.08967894
214 1 0.0 3.54287007 21.08967894 9.62810307
215 1 0.0 3.54287007 5.25305763 16.7146335
216 1 0.0 22.7998665 21.08967894 16.7146335
217 1 0.0 22.7998665 5.25305763 9.62810307
218 1 0.0 9.62810307 18.42403077 9.62810307
219 1 0.0 16.7146335 18.42403077 16.7146335
220 1 0.0 9.62810307 7.9187058 16.7146335
221 1 0.0 22.7998665 22.7998665 18.42403077
222 1 0.0 22.7998665 3.54287007 7.9187058
223 1 0.0 3.54287007 3.54287007 18.42403077
224 1 0.0 3.54287007 22.7998665 7.9187058
225 1 0.0 9.62810307 9.62810307 7.9187058
226 1 0.0 16.7146335 9.62810307 18.42403077
227 1 0.0 16.7146335 16.7146335 7.9187058
228 1 0.0 9.62810307 16.7146335 18.42403077
229 1 0.0 22.7998665 18.42403077 3.54287007
230 1 0.0 3.54287007 18.42403077 22.7998665
231 1 0.0 3.54287007 7.9187058 3.54287007
232 1 0.0 16.7146335 7.9187058 16.7146335
233 1 0.0 9.62810307 18.42403077 16.7146335
234 1 0.0 9.62810307 7.9187058 9.62810307
235 1 0.0 16.7146335 18.42403077 9.62810307
236 1 0.0 3.54287007 3.54287007 7.9187058
237 1 0.0 3.54287007 22.7998665 18.42403077
238 1 0.0 22.7998665 22.7998665 7.9187058
239 1 0.0 22.7998665 3.54287007 18.42403077
240 1 0.0 16.7146335 16.7146335 18.42403077
241 1 0.0 9.62810307 16.7146335 7.9187058
242 1 0.0 9.62810307 9.62810307 18.42403077
243 1 0.0 3.54287007 7.9187058 22.7998665
244 1 0.0 3.54287007 18.42403077 3.54287007
245 1 0.0 18.42403077 22.7998665 22.7998665
246 1 0.0 7.9187058 22.7998665 3.54287007
247 1 0.0 7.9187058 3.54287007 22.7998665
248 1 0.0 18.42403077 9.62810307 16.7146335
249 1 0.0 7.9187058 16.7146335 16.7146335
250 1 0.0 18.42403077 16.7146335 9.62810307
251 1 0.0 7.9187058 9.62810307 9.62810307
252 1 0.0 7.9187058 3.54287007 3.54287007
253 1 0.0 18.42403077 3.54287007 22.7998665
254 1 0.0 7.9187058 22.7998665 22.7998665
255 1 0.0 18.42403077 22.7998665 3.54287007
256 1 0.0 7.9187058 16.7146335 9.62810307
257 1 0.0 7.9187058 9.62810307 16.7146335
258 1 0.0 18.42403077 16.7146335 16.7146335
259 2 0.0 7.5156579 7.5156579 0.0
260 2 0.0 18.82707867 18.82707867 0.0
261 2 0.0 18.82707867 7.5156579 0.0
262 2 0.0 7.5156579 18.82707867 0.0
263 2 0.0 0.0 7.5156579 7.5156579
264 2 0.0 0.0 18.82707867 18.82707867
265 2 0.0 0.0 18.82707867 7.5156579
266 2 0.0 0.0 7.5156579 18.82707867
267 2 0.0 7.5156579 0.0 7.5156579
268 2 0.0 18.82707867 0.0 18.82707867
269 2 0.0 7.5156579 0.0 18.82707867
270 2 0.0 18.82707867 0.0 7.5156579
271 2 0.0 7.5156579 20.68663104 13.17176343
272 2 0.0 18.82707867 5.65610553 13.17176343
273 2 0.0 18.82707867 20.68663104 13.17176343
274 2 0.0 7.5156579 5.65610553 13.17176343
275 2 0.0 0.0 20.68663104 20.68663104
276 2 0.0 0.0 5.65610553 5.65610553
277 2 0.0 0.0 5.65610553 20.68663104
278 2 0.0 0.0 20.68663104 5.65610553
